Date Collected ,Species ,Bag_Number,End_Mass,MassPlusBag,MassPlusBagDried,Week_Collected ,Shore_or_Water,Tag Number,ground,notes,inital dried massplusbag
8/16/23,Fluitans,14,6.37,8.777,7.911,One,Shore,A1,yes,,
8/16/23,Natans 8,14,4.159,9.505,5.885,One,Shore,A2,yes,,
8/16/23,Fluitans,13,7.44,9.801,8.775,One,Shore,A3,yes,,
8/16/23,Natans 8,13,7.122,6.539,8.503,One,Shore,A4,yes,,
8/16/23,Natans 1,9,6.142,8.505,7.743,One,Shore,A5,yes,,
8/16/23,Fluitans,9,7.519,9.869,8.797,One,Shore,A6,yes,,
8/16/23,Natans 8,9,7.2,9.508,8.608,One,Shore,A7,yes,,
8/16/23,Natans 8,1,7.747,10.186,9.156,One,Shore,A8,yes,,
8/16/23,Fluitans,1,6.671,9.121,8.143,One,Shore,A9,yes,,
8/16/23,Natans 1,1,5.626,7.946,7.187,One,Shore,A10,yes,,
8/16/23,Fluitans,1,32.451,34.753,8.308,One,Water,A11,yes,,
8/16/23,Natans 8,1,34.988,37.279,9.135,One,Water,A12,yes,,
8/16/23,Natans 1,1,11.073,13.458,4.316,One,Water,A13,yes,,
8/16/23,Fluitans,4,22.752,25.111,6.099,One,Water,A14,yes,,
8/16/23,Natans 8,4,35.468,37.81,9.086,One,Water,A15,yes,,
8/16/23,Natans 1,4,16.833,19.206,5.37,One,Water,A16,yes,,
8/16/23,Natans 8,2,28.509,30.833,7.772,One,Water,A17,yes,,
8/16/23,Natans 1,2,10.958,13.319,4.43,One,Water,A18,yes,,
8/16/23,Fluitans,2,31.108,33.387,8.239,One,Water,A19,yes,,
8/16/23,Fluitans,14,23.63,25.948,6.542,One,Water,A20,yes,,
8/16/23,Natans 8,14,43.74,45.979,10.996,One,Water,A21,yes,,
8/16/23,Natans 8,15,26.712,29.045,7.027,One,Water,A22,yes,,
8/16/23,Fluitans,15,37.11,39.412,9.907,One,Water,A23,yes,,
8/23/23,Natans 8,13,41.078,43.308,10.97,Two,Water,G70,yes,,
8/23/23,Fluitans,13,22.678,24.989,7.116,Two,Water,G4,yes,,
8/23/23,Fluitans,6,10.254,12.627,4.649,Two,Water,G18,yes,,
8/23/23,Natans 8,6,35.021,37.317,9.651,Two,Water,G10,,redried,9.831
8/23/23,Natans 1,6,3.252,5.612,3.098,Two,Water,G24,,redried,3.108
8/23/23,Fluitans,10,9.161,11.518,4.337,Two,Water,G19,yes,,
8/23/23,Natans 8,10,28.13,30.489,8.264,Two,Water,G13,,redried,8.896
8/23/23,Natans 1,8,7.176,9.561,3.937,Two,Water,G12,yes,,
8/23/23,Natans 8,8,29.399,31.764,8.5,Two,Water,G50,yes,,
8/23/23,Fluitans,8,15.312,17.727,5.725,Two,Water,G48,yes,,
8/23/23,Natans 1,3,6.785,9.098,4.023,Two,Water,G1,yes,,
8/23/23,Natans 8,3,26.905,29.01,7.15,Two,Water,G2,,redried,7.189
8/23/23,Fluitans,3,21.969,24.276,7.847,Two,Water,G20,yes,,
8/23/23,Fluitans,12,10.996,13.411,7.803,Two,Shore,B42,yes,,
8/23/23,Natans 8,12,6.199,8.6,7.056,Two,Shore,B73,yes,,
8/23/23,Fluitans,4,10.655,13.019,6.93,Two,Shore,B65,yes,,
8/23/23,Natans 1,4,8.27,10.644,6.577,Two,Shore,B76,yes,,
8/23/23,Natans 8,4,6.337,8.706,6.865,Two,Shore,B77,yes,,
8/23/23,Fluitans,15,8.647,11.082,7.353,Two,Shore,B55,yes,,
8/23/23,Natans 8,15,5.274,7.701,5.65,Two,Shore,B63,yes,,
8/24/23,Natans 1,10,14.145,16.515,4.771,One,Water,B95,yes,,
8/24/23,Fluitans,16,17.33,19.727,5.434,One,Water,B70,yes,,
8/24/23,Natans 8,16,39.469,41.766,10.435,One,Water,B49,yes,,
8/24/23,Fluitans,27,28.959,31.281,8.082,One,Water,B84,yes,,
8/24/23,Natans 8,27,39.484,41.867,10.717,One,Water,B62,yes,,
8/24/23,Natans 1,15,12.339,14.778,4.898,One,Water,B58,yes,,
8/24/23,Natans 8,21,37.891,40.28,9.614,One,Water,B60,yes,,
8/24/23,Fluitans,21,18.297,20.696,5.62,One,Water,B27,yes,,
8/24/23,Natans 1,17,10.856,13.286,4.555,One,Water,B48,yes,,
8/24/23,Fluitans,23,16.463,18.9,5.348,One,Water,B82,yes,,
8/24/23,Natans 8,23,34.648,37.043,8.976,One,Water,B44,yes,,
8/24/23,Fluitans,30,21.385,23.783,6.229,One,Water,B85,yes,,
8/24/23,Fluitans,29,6.879,9.28,7.048,One,Shore,G51,yes,,
8/24/23,Natans 1,11,15.432,17.795,7.351,One,Shore,G39,yes,,
8/24/23,Natans 8,17,27.058,28.956,7.559,One,Shore,G98,yes,,
8/24/23,Fluitans,17,19.785,22.094,5.853,One,Shore,G35,yes,,
