Date_Collected ,Date_Weighed,Date_In_Field,Species,Bag_Number,Sarg_Kept,SargKeptPlusBag,SargKeptBagDried,Sarg_LitterBag,Shore_or_Water,Tag_Number,Crushed,notes,initial mass
8/7/23,8/8/23,8/9/23,Natans 1,1,34.767,36.345,8.044,39.475,Water,collected,,,
8/7/23,8/8/23,8/9/23,Natans 1,2,35.309,36.92,8.115,40.076,Water,collected,,,
8/7/23,8/8/23,8/9/23,Natans 1,3,34.004,35.713,7.627,39.967,Water,G1,,,
8/7/23,8/8/23,8/9/23,Natans 1,4,35.282,36.906,7.898,40.322,Water,collected,double check this mass,,
8/7/23,8/8/23,8/9/23,Natans 1,5,34.495,35.956,7.894,39.701,Water,G56,,,
8/7/23,8/8/23,8/9/23,Natans 1,6,34.682,36.323,7.945,40.366,Water,G24,,,
8/7/23,8/8/23,8/9/23,Natans 1,7,34.823,36.402,7.781,39.961,Water,G14,,,
8/7/23,8/8/23,8/9/23,Natans 1,8,34.408,35.82,7.664,39.953,Water,G12,,,
8/7/23,8/8/23,8/9/23,Natans 1,9,35.045,36.5,7.604,40.108,Water,G21,,,
8/7/23,8/8/23,8/9/23,Natans 1,1,34.897,36.43,7.765,39.748,Shore,collected,,,
8/7/23,8/8/23,8/9/23,Natans 1,2,34.805,36.142,7.902,39.702,Shore,B29,,,
8/7/23,8/8/23,8/9/23,Natans 1,3,34.331,35.798,7.592,40.208,Shore,gone,,,
8/7/23,8/8/23,8/9/23,Natans 1,4,34.945,36.234,7.763,39.93,Shore,B76,,,
8/7/23,8/8/23,8/9/23,Natans 1,5,34.935,36.22,7.596,40.185,Shore,gone,,,
8/7/23,8/8/23,8/9/23,Natans 1,6,34.94,36.153,7.805,40.173,Shore,gone ,,,
8/7/23,8/8/23,8/9/23,Natans 1,7,34.751,36.346,7.704,39.621,Shore,gone ,,,
8/7/23,8/8/23,8/9/23,Natans 1,8,34.452,36.12,7.661,40.187,Shore,gone ,,,
8/7/23,8/8/23,8/9/23,Natans 1,9,22.585,24.144,5.72,34.785,Shore,collected,,,
8/7/23,8/8/23,8/9/23,Natans 8,1,34.495,36.915,9.181,39.916,Water,collected,,,
8/7/23,8/8/23,8/9/23,Natans 8,2,34.633,37.033,8.878,39.944,Water,collected,,,
8/7/23,8/8/23,8/9/23,Natans 8,3,34.153,36.315,9.056,39.726,Water,G2,,,
8/7/23,8/8/23,8/9/23,Natans 8,4,34.617,36.948,9.252,40.842,Water,collected,,,
8/7/23,8/8/23,8/9/23,Natans 8,5,34.729,37.099,9.106,40.425,Water,G16,,,
8/7/23,8/8/23,8/9/23,Natans 8,6,34.302,36.515,8.947,39.58,Water,G10,,,
8/7/23,8/8/23,8/9/23,Natans 8,7,34.744,37.066,9.468,40.312,Water,G76,,,
8/7/23,8/8/23,8/9/23,Natans 8,8,35.216,37.643,9.267,39.543,Water,G50,,,
8/7/23,8/8/23,8/9/23,Natans 8,9,34.55,36.977,9.347,40.821,Water,G43,,,
8/7/23,8/8/23,8/9/23,Natans 8,10,34.33,36.648,9.149,40.493,Water,G13,,,
8/7/23,8/8/23,8/9/23,Natans 8,11,34.897,37.335,9.396,40.125,Water,G72,,,
8/7/23,8/8/23,8/9/23,Natans 8,12,34.876,37.304,9.388,39.791,Water,G17,,,
8/7/23,8/8/23,8/9/23,Natans 8,13,34.105,36.483,9.523,39.742,Water,G70,,,
8/7/23,8/8/23,8/9/23,Natans 8,14,34.424,36.89,9.482,39.927,Water,collected,,,
8/7/23,8/8/23,8/9/23,Natans 8,15,34.717,37.101,9.237,40.151,Water,collected,,,
8/7/23,8/8/23,8/9/23,Natans 8,1,34.43,39.703,12.278,40.129,Shore,collected,,,
8/7/23,8/8/23,8/9/23,Natans 8,2,34.297,39.406,11.734,39.66,Shore,B71,,,
8/7/23,8/8/23,8/9/23,Natans 8,3,36.791,41.943,12.584,39.797,Shore,gone,,,
8/7/23,8/8/23,8/9/23,Natans 8,4,34.073,39.145,11.982,39.582,Shore,B77,,,
8/7/23,8/8/23,8/9/23,Natans 8,5,34.653,39.746,12.231,39.953,Shore,gone,,redried,12.889
8/7/23,8/8/23,8/9/23,Natans 8,6,34.537,39.563,11.78,40.05,Shore,gone ,,,
8/7/23,8/8/23,8/9/23,Natans 8,7,34.369,39.5,12.02,39.307,Shore,gone ,,,
8/7/23,8/8/23,8/9/23,Natans 8,8,33.761,39.097,12.024,39.642,Shore,gone ,,,
8/7/23,8/8/23,8/9/23,Natans 8,9,34.749,39.935,7.059,39.215,Shore,collected,reweigh,,
8/7/23,8/8/23,8/9/23,Natans 8,10,34.346,39.129,12,39.543,Shore,gone,,,
8/7/23,8/8/23,8/9/23,Natans 8,11,33.997,38.846,11.84,40.818,Shore,B74,,,
8/7/23,8/8/23,8/9/23,Natans 8,12,33.61,37.562,10.282,40.215,Shore,B73,,,
8/7/23,8/8/23,8/9/23,Natans 8,13,30.864,35.027,10.312,37.184,Shore,collected,,,
8/7/23,8/8/23,8/9/23,Natans 8,14,32.792,36.447,9.656,37.106,Shore,collected,,,
8/7/23,8/8/23,8/9/23,Natans 8,15,27.99,32.209,9.677,33.215,Shore,B63,,,
8/7/23,8/8/23,8/9/23,Fluitans,1,35.756,37.341,8.228,40.534,Water,collected,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,2,34.837,36.399,8,39.494,Water,collected,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,3,35.486,36.968,7.993,40.364,Water,G20,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,4,34.781,36.423,7.742,39.715,Water,collected,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,5,29.337,30.916,7.123,40.227,Water,G11,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,6,35.553,37.108,8.13,39.97,Water,G18,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,7,35.164,36.722,8.066,39.296,Water,G5,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,8,34.884,36.453,7.884,40.069,Water,G48,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,9,34.824,36.402,7.875,40.067,Water,G26,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,10,34.236,35.786,7.927,39.012,Water,G19,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,11,34.932,36.589,8.264,39.411,Water,G40,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,12,34.711,36.393,8.309,39.916,Water,G3,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,13,35.674,37.322,8.332,39.213,Water,G4,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,14,35.644,37.352,8.109,40.651,Water,collected,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,15,35.132,36.775,7.861,40.562,Water,collected,Yes,,
8/7/23,8/8/23,8/9/23,Fluitans,1,34.859,36.495,7.699,36.495,Shore,collected,,,
8/7/23,8/8/23,8/9/23,Fluitans,2,34.312,36.006,8.17,36.006,Shore,B79,,,
8/7/23,8/8/23,8/9/23,Fluitans,3,35.303,36.955,7.868,36.955,Shore,gone,,,
8/7/23,8/8/23,8/9/23,Fluitans,4,35.111,36.732,7.92,36.732,Shore,B65,,,
8/7/23,8/8/23,8/9/23,Fluitans,5,34.515,36.086,7.037,36.086,Shore,gone,,,
8/7/23,8/8/23,8/9/23,Fluitans,6,35.033,36.504,7.766,36.504,Shore,gone ,,,
8/7/23,8/8/23,8/9/23,Fluitans,7,34.946,36.586,7.859,36.586,Shore,gone ,,,
8/7/23,8/8/23,8/9/23,Fluitans,8,34.622,36.284,8.023,36.284,Shore,gone ,,,
8/7/23,8/8/23,8/9/23,Fluitans,9,35.579,37.198,8.334,37.198,Shore,collected,,,
8/7/23,8/8/23,8/9/23,Fluitans,10,34.604,36.178,7.903,36.178,Shore,gone,,,
8/7/23,8/8/23,8/9/23,Fluitans,11,35.17,36.812,8.121,36.812,Shore,B72,,,
8/7/23,8/8/23,8/9/23,Fluitans,12,35.677,37.386,8.073,37.386,Shore,B42,,,
8/7/23,8/8/23,8/9/23,Fluitans,13,35.89,37.494,7.845,37.494,Shore,collected,,,
8/7/23,8/8/23,8/9/23,Fluitans,14,34.602,36.06,7.518,36.06,Shore,collected,,,
8/7/23,8/8/23,8/9/23,Fluitans,15,34.365,35.975,8.034,35.975,Shore,B55,,,
8/16/23,8/16/23,8/17/23,Natans 8,16,34.484,37.1,9.346,39.667,Water,B49,,,
8/16/23,8/16/23,8/17/23,Natans 8,17,35.044,37.319,9.449,39.067,Water,B30,,,
8/16/23,8/16/23,8/17/23,Natans 8,18,34.287,36.159,9.488,39.911,Water,B57,,,
8/16/23,8/16/23,8/17/23,Natans 8,19,34.632,37.035,9.426,38.736,Water,B51,,,
